OBJECTID,Join_Count,TARGET_FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,area_km,area_mi,POLY_AREA,geoid_2010,OBJECTID,Boston_tracts_for_data_OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,area_km,area_mi,POLY_AREA,geoid_2010,Boston_tracts_for_data_Shape_Len,Boston_tracts_for_data_Shape_Are,HVI_variables_2011_ExcelToTa_OBJ,GEOID10_1,tract_area,highdev_percent,GEOid,undev_percent,geoid11,hispanic,foreign,english,poverty,black,over65,disability,oldhouse,housing,unwt_housing,unemployed,alone65house,housingdensity,unwt_housingdensity,undev_wt,highdev_wt,hispanic_wt,foreign_wt,english_wt,poverty_wt,black_wt,over65_wt,disability_wt,oldhouse_wt,housingdensity_wt,unemployed_wt,alone65house_wt,factor1,factor2,factor3,factor4,factor5,HVI,factor1_cat,factor2_cat,factor3_cat,factor4_cat,factor5_cat,HVI_cat,OBJECTID,GEOID10,NAMELSAD10,COUNT,AREA,MEAN,GEOid,Shape_Length,Shape_Area
11,3,11,25,021,401100,25021401100,4011,Census Tract 4011,G5020,4116857,109099,+42.3238531,-071.1420019,45484600.31,1044.1827,4441,1629,0141542,123434,0003621,0123434,4.225674539,1.631535535,4.225674539,25021401100,11,11,25,021,401100,25021401100,4011,Census Tract 4011,G5020,4116857,109099,+42.3238531,-071.1420019,45484600.31,1044.1827,4441,1629,0141542,123434,0003621,0123434,4.225674539,1.631535535,4.225674539,25021401100,3050.238985,5759.884941,884,25021401100,4.225674539,0.021320418,25021401100,0.125055793,25021401100,0.044188071,0.153243361,0.068785372,0.025250327,0.017631694,0.156290814,0.010883761,0.844200808,1733,130,0.009795385,0.130407125,410.1120387,30.76431912,-0.073782918,0.01172623,0.03711798,0.134854158,0.063970396,0.015655202,0.015163256,0.142224641,0.008924684,0.785106751,352.6963533,0.007640401,0.123886768,-0.914089799,-1.194645947,0.346262893,-0.904789757,0.108299878,-2.558962732,3,2,4,3,4,16,11,25025981800,Census Tract 9818,842,757800,30.11822561,25025981800,3050.238985,5759.884941
12,2,12,25,021,401000,25021401000,4010,Census Tract 4010,G5020,640097,580,+42.3274299,-071.1219219,6895673.89,158.3029,3149,1342,0141538,123430,0003620,0123430,0.640631625,0.247348264,0.640631625,25021401000,12,12,25,021,401000,25021401000,4010,Census Tract 4010,G5020,640097,580,+42.3274299,-071.1219219,6895673.89,158.3029,3149,1342,0141538,123430,0003620,0123430,0.640631625,0.247348264,0.640631625,25021401000,673.0986278,2028.40714,883,25021401000,0.640631625,0.124784145,25021401000,0.001460517,25021401000,0.055268261,0.177117001,0.117323853,0.162572721,0.032967033,0.118616677,0.027472527,0.963863794,1439,115,0.02133161,0.084430674,2246.220675,179.5103388,-0.000861705,0.06863128,0.046425339,0.155862961,0.109111183,0.100795087,0.028351648,0.107941176,0.022527473,0.896393329,1931.74978,0.016638655,0.08020914,-0.69795038,-0.801961739,-0.125985831,-0.426733817,0.913262698,-1.139369069,3,3,3,3,4,16,12,25025981800,Census Tract 9818,842,757800,30.11822561,25025981800,673.0986278,2028.40714
13,1,13,25,021,400900,25021400900,4009,Census Tract 4009,G5020,383245,2025,+42.3332089,-071.1166155,4146715.87,95.1955,3865,2017,0141534,123426,0003619,0123426,0.385244043,0.148742962,0.385244043,25021400900,13,13,25,021,400900,25021400900,4009,Census Tract 4009,G5020,383245,2025,+42.3332089,-071.1166155,4146715.87,95.1955,3865,2017,0141534,123426,0003619,0123426,0.385244043,0.148742962,0.385244043,25021400900,24.14714238,9.104783958,882,25021400900,0.385244043,0.355206417,25021400900,0.008131954,25021400900,0.119669165,0.233135177,0.12871543,0.108555182,0.079348669,0.157146549,0.053760662,0.891831239,2228,137,0.036960455,0.134242265,5783.347055,355.6187372,-0.004797853,0.195363529,0.100522099,0.205158956,0.11970535,0.067304213,0.068239855,0.14300336,0.044083743,0.829403052,4973.678467,0.028829155,0.127530152,-0.371445435,-0.671604974,0.373049747,0.494166768,0.428705771,0.252871876,3,3,4,4,4,18,13,25025981800,Census Tract 9818,842,757800,30.11822561,25025981800,24.14714238,9.104783958
14,2,14,25,021,400400,25021400400,4004,Census Tract 4004,G5020,769492,0,+42.3421455,-071.1321550,8282187.29,190.1329,5449,2869,0141514,123406,0003614,0123406,0.769443415,0.297082575,0.769443415,25021400400,14,14,25,021,400400,25021400400,4004,Census Tract 4004,G5020,769492,0,+42.3421455,-071.1321550,8282187.29,190.1329,5449,2869,0141514,123406,0003614,0123406,0.769443415,0.297082575,0.769443415,25021400400,211.8822248,8.868931178,877,25021400400,0.769443415,0.122241408,25021400400,0,25021400400,0.054166667,0.216666667,0.110763889,0.159201389,0.036284722,0.207465278,0.051215278,0.949936224,3136,165,0.032986111,0.219075521,4075.673324,214.4407202,0,0.067232774,0.0455,0.190666667,0.103010417,0.098704861,0.031204861,0.188793403,0.041996528,0.883440689,3505.079058,0.025729167,0.208121745,-0.618384025,-0.706744934,1.138605539,0.049549825,0.81957311,0.682599515,3,3,5,4,4,19,14,25025000504,Census Tract 5.04,365,328500,37.97135613,25025000504,211.8822248,8.868931178
15,3,15,25,021,400300,25021400300,4003,Census Tract 4003,G5020,525897,0,+42.3470378,-071.1269879,5660329.9,129.9433,4110,1672,0141510,123402,0003613,0123402,0.52586397,0.203036402,0.52586397,25021400300,15,15,25,021,400300,25021400300,4003,Census Tract 4003,G5020,525897,0,+42.3470378,-071.1269879,5660329.9,129.9433,4110,1672,0141510,123402,0003613,0123402,0.52586397,0.203036402,0.52586397,25021400300,1371.40581,121.1309461,876,25021400300,0.52586397,0.14595221,25021400300,0,25021400300,0.037111558,0.226022803,0.102839258,0.107981221,0.02727476,0.095014532,0.018332216,0.97255113,1858,168,0.035099486,0.064155386,3533.233131,319.4742551,0,0.080273715,0.031173709,0.198900067,0.09564051,0.066948357,0.023456293,0.086463224,0.015032417,0.904472551,3038.580493,0.027377599,0.060947616,-0.656946958,-0.917232227,-0.372764899,-0.091666323,0.971701674,-1.066908733,3,3,3,3,4,16,15,25025000703,Census Tract 7.03,197,177300,40.89429192,25025000703,1371.40581,121.1309461
16,2,16,25,021,400600,25021400600,4006,Census Tract 4006,G5020,1224975,2054,+42.3322702,-071.1376118,13206763.83,303.1856,5177,2218,0141522,123414,0003616,0123414,1.226953423,0.47372747,1.226953423,25021400600,16,16,25,021,400600,25021400600,4006,Census Tract 4006,G5020,1224975,2054,+42.3322702,-071.1376118,13206763.83,303.1856,5177,2218,0141522,123414,0003616,0123414,1.226953423,0.47372747,1.226953423,25021400600,1357.458586,1703.03204,879,25021400600,1.226953423,0.064164825,25021400600,0,25021400600,0.055308451,0.250821891,0.11835235,0.0924386,0.011603172,0.128601818,0.017017985,0.905394191,2410,116,0.047379617,0.100692841,1964.21474,94.54311614,0,0.035290654,0.046459099,0.220723264,0.110067685,0.057311932,0.009978728,0.117027654,0.013954748,0.842016598,1689.224677,0.036956101,0.095658199,-0.509327555,-0.964684376,0.022637992,-0.500161706,0.519942606,-1.431593039,3,3,4,3,4,17,16,25025000504,Census Tract 5.04,365,328500,37.97135613,25025000504,1357.458586,1703.03204
17,2,17,25,021,400200,25021400200,4002,Census Tract 4002,G5020,532990,0,+42.3468934,-071.1196352,5736658.32,131.6956,6132,2954,0141506,123398,0003612,0123398,0.532955102,0.205774292,0.532955102,25021400200,17,17,25,021,400200,25021400200,4002,Census Tract 4002,G5020,532990,0,+42.3468934,-071.1196352,5736658.32,131.6956,6132,2954,0141506,123398,0003612,0123398,0.532955102,0.205774292,0.532955102,25021400200,1260.616633,7633.487106,875,25021400200,0.532955102,0.328392995,25021400200,0,25021400200,0.0495317,0.313940922,0.170569164,0.176873199,0.027197406,0.105907781,0.021073487,0.910907304,3053,159,0.046289625,0.097164461,5728.437511,298.3365752,0,0.180616147,0.041606628,0.276268012,0.158629323,0.109661383,0.023389769,0.096376081,0.017280259,0.847143793,4926.456259,0.036105908,0.092306238,-0.225023941,-0.743107627,-0.122763231,0.479868482,0.557028855,-0.053997462,3,3,3,4,4,17,17,25025000703,Census Tract 7.03,197,177300,40.89429192,25025000703,1260.616633,7633.487106
18,4,18,25,021,400100,25021400100,4001,Census Tract 4001,G5020,864907,11957,+42.3467577,-071.1125543,9437871.22,216.6637,4977,2511,0141501,123393,0003611,0123393,0.876810448,0.338537053,0.876810448,25021400100,18,18,25,021,400100,25021400100,4001,Census Tract 4001,G5020,864907,11957,+42.3467577,-071.1125543,9437871.22,216.6637,4977,2511,0141501,123393,0003611,0123393,0.876810448,0.338537053,0.876810448,25021400100,2339.37479,15678.53481,874,25021400100,0.876810448,0.209799072,25021400100,0.025590216,25021400100,0.047163799,0.202676864,0.076056936,0.176120671,0.029955386,0.141278946,0.043339707,0.968631897,2646,137,0.022094752,0.104259095,3017.756009,156.2481381,-0.015098228,0.115389489,0.039617591,0.178355641,0.070732951,0.109194816,0.025761632,0.128563841,0.03553856,0.900827664,2595.270168,0.017233907,0.09904614,-0.762953231,-0.738913534,0.113040787,-0.225860733,0.945337324,-0.669349388,3,3,4,3,4,17,18,25025010204,Census Tract 102.04,283,254700,39.476085,25025010204,2339.37479,15678.53481
19,10,19,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702,0,+42.3398654,-071.0896052,3914567.54,89.8661,5522,994,0174937,147927,0003866,0147927,0.363676708,0.1404158,0.363676708,25025010405,19,19,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702,0,+42.3398654,-071.0896052,3914567.54,89.8661,5522,994,0174937,147927,0003866,0147927,0.363676708,0.1404158,0.363676708,25025010405,4459.095905,363676.7065,1129,25025010405,0.363676708,0.560439815,25025010405,0,25025010405,0.082532906,0.202419068,0.176449662,0.130202775,0.124155105,0.06794735,0.048381359,0.939209726,987,114,0.093916756,0.240702479,2713.948896,313.465222,0,0.308241898,0.069327641,0.17812878,0.164098186,0.08072572,0.10677339,0.061832088,0.039672714,0.873465046,2333.99605,0.073255069,0.228667355,-0.411065335,-0.372958304,0.493993224,-0.304891607,0.747416862,0.152494841,3,3,4,3,4,17,19,25025010405,Census Tract 104.05,415,373500,38.27752592,25025010405,4459.095905,363676.7065
20,4,20,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829,0,+42.3419667,-071.0886375,1472713.92,33.8089,5817,1862,0174933,147923,0003865,0147923,0.136820144,0.052826342,0.136820144,25025010404,20,20,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829,0,+42.3419667,-071.0886375,1472713.92,33.8089,5817,1862,0174933,147923,0003865,0147923,0.136820144,0.052826342,0.136820144,25025010404,1608.628904,136820.1443,1128,25025010404,0.136820144,0.390244196,25025010404,0,25025010404,0.067898067,0.184025996,0.119719514,0.350436121,0.057807423,0.01607662,0.029245767,0.935349941,1686,101,0.068753207,0.04313205,12322.74684,738.1953917,0,0.214634308,0.057034377,0.161942877,0.111339148,0.217270395,0.049714383,0.014629725,0.023981529,0.869875445,10597.56228,0.053627501,0.040975448,-0.643764624,-0.229538579,-0.928877029,2.196656054,0.721452409,1.115928231,3,3,3,6,4,19,20,25025010405,Census Tract 104.05,415,373500,38.27752592,25025010405,1608.628904,136820.1443
21,6,21,25,025,010801,25025010801,108.01,Census Tract 108.01,G5020,127905,0,+42.3541193,-071.0770216,1376667.12,31.6039,2783,1899,0174958,147948,0003872,0147948,0.127897075,0.049381139,0.127897075,25025010801,21,21,25,025,010801,25025010801,108.01,Census Tract 108.01,G5020,127905,0,+42.3541193,-071.0770216,1376667.12,31.6039,2783,1899,0174958,147948,0003872,0147948,0.127897075,0.049381139,0.127897075,25025010801,1879.552171,127897.0754,1135,25025010801,0.127897075,0.258771991,25025010801,0,25025010801,0.063164478,0.177611007,0.101626016,0.032520325,0.010318949,0.121013133,0.014696685,0.975661376,1890,132,0.035334584,0.057738095,14777.50763,1032.079898,0,0.142324595,0.053058161,0.156297686,0.094512195,0.020162602,0.008874296,0.110121951,0.012051282,0.907365079,12708.65656,0.027560976,0.05485119,-0.719523491,-1.125591809,-0.266381391,2.835712094,0.992624032,1.716839435,3,2,3,6,4,18,21,25025010801,Census Tract 108.01,143,128700,37.269374,25025010801,1879.552171,127897.0754
22,7,22,25,025,010702,25025010702,107.02,Census Tract 107.02,G5020,299981,0,+42.3518354,-071.0755159,3228780.12,74.1226,2400,1643,0174954,147944,0003871,0147944,0.299964669,0.115816543,0.299964669,25025010702,22,22,25,025,010702,25025010702,107.02,Census Tract 107.02,G5020,299981,0,+42.3518354,-071.0755159,3228780.12,74.1226,2400,1643,0174954,147944,0003871,0147944,0.299964669,0.115816543,0.299964669,25025010702,2383.19101,299964.6711,1134,25025010702,0.299964669,0.440396507,25025010702,0,25025010702,0.069579975,0.114976665,0.053457785,0.076792533,0.022486211,0.124310564,0.01824353,0.909881914,1609,111,0.022910479,0.094488189,5363.965056,370.0435806,0,0.242218079,0.058447179,0.101179465,0.04971574,0.04761137,0.019338142,0.113122613,0.014959695,0.84619018,4613.009948,0.017870174,0.08976378,-0.990283455,-1.024505094,-0.036722161,0.384999555,0.550131142,-1.116380012,3,2,3,4,4,16,22,25025010801,Census Tract 108.01,143,128700,37.269374,25025010801,2383.19101,299964.6711
23,5,23,25,025,010204,25025010204,102.04,Census Tract 102.04,G5020,254706,0,+42.3462887,-071.1033879,2741497.18,62.9361,3173,1283,0174922,147912,0003862,0147912,0.254694441,0.09833768,0.254694441,25025010204,23,23,25,025,010204,25025010204,102.04,Census Tract 102.04,G5020,254706,0,+42.3462887,-071.1033879,2741497.18,62.9361,3173,1283,0174922,147912,0003862,0147912,0.254694441,0.09833768,0.254694441,25025010204,2267.37385,251415.6424,1125,25025010204,0.254694441,0.743388389,25025010204,0.003534104,25025010204,0.048314942,0.270504026,0.116611989,0.246644796,0.022069788,0.005070086,0.042946615,0.749377593,1205,89,0.057262153,0,4731.159402,349.4383293,-0.002085122,0.408863614,0.040584551,0.238043543,0.10844915,0.152919773,0.018980018,0.004613779,0.035216224,0.696921162,4068.797086,0.04466448,0,-0.481178465,-0.530923906,-1.237757008,0.220303328,-0.529567889,-2.55912394,3,3,2,4,3,15,23,25025010204,Census Tract 102.04,283,254700,39.476085,25025010204,2267.37385,251415.6424
24,5,24,25,025,010802,25025010802,108.02,Census Tract 108.02,G5020,155467,0,+42.3515181,-071.0856803,1673329.62,38.4144,3059,2106,0174962,147952,0003873,0147952,0.155458045,0.060022447,0.155458045,25025010802,24,24,25,025,010802,25025010802,108.02,Census Tract 108.02,G5020,155467,0,+42.3515181,-071.0856803,1673329.62,38.4144,3059,2106,0174962,147952,0003873,0147952,0.155458045,0.060022447,0.155458045,25025010802,1970.947441,155458.0447,1136,25025010802,0.155458045,0.191780613,25025010802,1.81231E-05,25025010802,0.039711191,0.161470299,0.056448966,0.080078766,0.024286183,0.163111257,0.004922875,0.975252525,1980,137,0.0118149,0.079157175,12736.55541,881.2667125,-1.06926E-05,0.105479337,0.033357401,0.142093863,0.052497539,0.049648835,0.020886117,0.148431244,0.004036757,0.906984848,10953.43765,0.009215622,0.075199317,-0.9369871,-1.076434808,0.088935475,2.304354859,0.98987373,1.369742156,3,2,4,6,4,19,24,25025010801,Census Tract 108.01,143,128700,37.269374,25025010801,1970.947441,155458.0447
